Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,30.28328931892083,30.9222725778724,30.521097005728315,30.734441591243716,30.218969552617587
0.2,31.584202515919877,32.04076405119207,31.74692929618113,31.888497395436282,31.397018190650208
0.3,31.691845168779828,32.958898256298674,32.65915079378765,32.72160182318902,32.32542879915018
0.4,32.44997313711185,33.60697595651961,33.4765955369084,33.41988221080879,33.02005023812669
0.5,34.48453941146797,33.842150146009224,33.885635957142334,34.11169924047561,33.36902080694166
0.6,32.758189814450596,34.943586234263016,35.11120681487086,34.48548712216323,34.54835300959889
0.7,32.5574500093482,35.217840237763205,35.911575160766446,34.924366224420005,35.43807541631086
0.8,33.16124852411683,35.57287918525095,36.853436890899744,35.47219483334174,36.70287092971226
0.9,32.70648912293303,36.02528182968465,38.02609245422865,35.385826301724826,38.626399456632605
1,inf,inf,inf,inf,inf
