recall- resolution/model,yolov5,ssd,retinanet
176x144,0.0,0.208,0.167
160x90,0.0,0.062,0.911
160x120,0.0,0.387,0.613
240x180,0.202,0.661,0.0
320x180,0.671,0.671,0.329
320x240,0.477,0.78,0.0
480x270,0.711,0.933,0.282
480x360,0.509,0.928,0.0
640x360,0.63,0.845,0.267
800x450,0.637,0.801,0.244
800x600,0.545,0.998,0.0
640x480,0.526,0.941,0.0
1024x640,0.455,0.807,0.0
1280x800,0.602,0.826,0.0
1024x768,0.829,1.0,0.0
1280x720,0.675,0.787,0.118
1280x960,0.743,0.998,0.0
