FP- resolution/model,yolov5,ssd,retinanet
176x144,0.479,19.531,67.021
160x90,0.214,11.214,87.417
160x120,0.0,14.188,62.833
240x180,0.005,16.13,62.839
320x180,2.406,16.542,105.953
320x240,0.25,17.568,76.734
480x270,3.724,15.854,112.0
480x360,0.062,17.609,83.396
640x360,5.901,16.349,113.052
800x450,5.083,15.526,112.5
800x600,0.0,17.422,78.453
640x480,0.016,16.99,80.964
1024x640,0.026,13.411,95.125
1280x800,0.094,15.375,95.089
1024x768,0.042,17.818,75.276
1280x720,3.052,15.646,110.938
1280x960,0.016,17.833,76.354
