Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,0.521484375,0.521484375,0.521484375,0.521484375,0.521484375
0.2,1.927734375,1.927734375,1.927734375,1.927734375,1.927734375
0.3,4.271484375,4.271484375,4.271484375,4.271484375,4.271484375
0.4,7.552734375,7.552734375,7.552734375,7.552734375,7.552734375
0.5,11.771484375,11.771484375,11.771484375,11.771484375,11.771484375
0.6,16.927734375,16.927734375,16.927734375,16.927734375,16.927734375
0.7,23.021484375,23.021484375,23.021484375,23.021484375,23.021484375
0.8,30.052734375,30.052734375,30.052734375,30.052734375,30.052734375
0.9,38.021484375,38.021484375,38.021484375,38.021484375,38.021484375
1,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
