Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,5.115234375,5.115234375,5.115234375,5.115234375,5.115234375
0.2,20.302734375,20.302734375,20.302734375,20.302734375,20.302734375
0.3,45.615234375,45.615234375,45.615234375,45.615234375,45.615234375
0.4,81.052734375,81.052734375,81.052734375,81.052734375,81.052734375
0.5,126.615234375,126.615234375,126.615234375,126.615234375,126.615234375
0.6,182.302734375,182.302734375,182.302734375,182.302734375,182.302734375
0.7,248.115234375,248.115234375,248.115234375,248.115234375,248.115234375
0.8,324.052734375,324.052734375,324.052734375,324.052734375,324.052734375
0.9,410.115234375,410.115234375,410.115234375,410.115234375,410.115234375
1,506.302734375,506.302734375,506.302734375,506.302734375,506.302734375
