Scaling Factor,INTER_NEAREST (MAE),INTER_LINEAR (MAE),INTER_CUBIC (MAE),INTER_AREA (MAE),INTER_LANCZOS4 (MAE)
0.1,97.57987123842591,110.15110821759257,112.40087528935183,115.4492230902778,119.68173177083334
0.2,91.61579427083335,99.74841724537036,99.47285879629631,102.33167824074074,107.55569299768516
0.3,92.67910734953703,99.54898292824076,96.24803674768519,94.37433159722221,94.96824074074074
0.4,87.2735546875,91.32274594907406,85.99889322916668,81.8905150462963,92.34025318287037
0.5,58.85612702546295,71.26640914351853,81.08936053240743,70.19281105324076,105.80728587962963
0.6,84.83797598379628,82.35568431712964,71.11222511574076,78.19475405092591,88.37288628472221
0.7,88.00516493055555,83.1191044560185,65.43425057870368,76.42641637731481,69.44595052083334
0.8,82.42744502314815,76.83851996527778,59.50171006944446,61.757358217592596,65.38191406249999
0.9,87.28768084490741,77.93038194444445,56.98497685185184,72.63661313657407,50.8016724537037
1,0.0,0.0,0.0,0.0,0.0
