Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.08466091382636,31.672087486142694,31.266740062289635,31.520362326636707,30.957995546714983
0.2,32.58809686683691,33.15544747330495,32.80349899214122,32.89418556141222,32.44729648733516
0.3,32.75682334685916,34.075346791345005,33.83610542782811,33.82892213184657,33.435429923675365
0.4,33.542351394127024,34.77176683724042,34.69174326079764,34.51022045259585,34.23533886650389
0.5,35.7033183060525,34.96319114068454,34.95561104653745,35.277899906396435,34.43835934653216
0.6,33.90493251816765,35.993010173522705,36.18551164399981,35.56781209195675,35.692507409858074
0.7,33.65565052453555,36.258499472369074,36.950126454373,35.935587090572426,36.56098480589669
0.8,34.29958829367847,36.51279900168771,37.90553188272656,36.42583344115814,37.84311185554765
0.9,33.804238353303205,36.928388045853524,38.94637259539935,36.30055692809002,39.69469133339717
1,inf,inf,inf,inf,inf
