Lanczos4,yolov5,ssd,retinanet
0.1,0.292578125,0.19624575899246952,0.19140625
0.2,0.5903552827380951,0.3129199767756753,0.5535714285714285
0.3,0.745940431096681,0.3592974393302131,0.7508964342948719
0.4,0.8048619024204962,0.3717519252977844,0.8679067460317461
0.5,0.8377927219838983,0.3814884522015544,0.9014831631042569
0.6,0.863219995850653,0.37569563008290524,0.9032688773899713
0.7,0.86738027947583,0.3772334773338546,0.9058165110267593
0.8,0.8697676343593681,0.37875667920293515,0.9168423048305862
0.9,0.8781245696694284,0.37467587495735466,0.9242560845399225
1,0.8699229179081152,0.36979852121347867,0.9194526176948055
original,0.8719750062950636,0.37326877890502586,0.9172316638496739
