Nearest,yolov5,ssd,retinanet
0.1,0.0,0.05681214720736779,0.0
0.2,0.0,0.11436433001230797,0.015625
0.3,0.04296875,0.2695529509861699,0.125
0.4,0.1988467261904762,0.30217307259653187,0.4739583333333333
0.5,0.6325673024891774,0.36434830689498837,0.7723834325396826
0.6,0.6081166135344125,0.34390420324080595,0.7035003063725491
0.7,0.7319298412473964,0.36690454516136606,0.8448215955051893
0.8,0.8334177733387492,0.36914573688077695,0.914396725236569
0.9,0.8702693293092141,0.3756004184046947,0.9070556505126818
1,0.8699229179081152,0.36979852121347867,0.9194526176948055
original,0.8719750062950636,0.37326877890502586,0.9172316638496739
