Inter-Cubic,yolov5,ssd,retinanet
0.1,0.36783854166666663,0.24909694903103863,0.2760416666666667
0.2,0.6636186079545454,0.31473764765747886,0.5883246527777778
0.3,0.7601071237789988,0.3614063100185632,0.7862413194444445
0.4,0.8047961893090567,0.3746066077495666,0.8820288024749376
0.5,0.8508197096155655,0.3852729146565615,0.9100492931547619
0.6,0.873770348575036,0.37466560474886956,0.9318696583747136
0.7,0.8649024968027934,0.38174595976000036,0.9142262634220355
0.8,0.876409067278208,0.380645670656313,0.9302525567518676
0.9,0.8807128239038261,0.377306821300206,0.9259104542204872
1,0.8699229179081152,0.36979852121347867,0.9194526176948055
original,0.8719750062950636,0.37326877890502586,0.9172316638496739
