size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32
14400,160x90,74,131,246,500,1184,2726,,14400,160x90,589,1159,1707,3107,11772,14744,,14400,160x90,182,351,691,1406,3431,7618,,14400,160x90,645,1127,1862,4003,10082,17170,,14400,160x90,2253,4502,9006,18037,36071,72206,,14400,160x90,5241,10562,21200,42610,82985,167180
16000,160x100,91,152,280,561,1316,3006,,16000,160x100,760,1297,1690,3325,12147,15434,,16000,160x100,182,352,693,1413,3473,7619,,16000,160x100,607,1182,1844,3988,10114,17121,,16000,160x100,2207,4422,8876,17774,35422,70879,,16000,160x100,5083,10355,20783,42277,81460,165575
19200,160x120,101,171,316,633,1581,3504,,19200,160x120,771,1285,1919,3689,12498,16231,,19200,160x120,182,351,692,1409,3472,7637,,19200,160x120,583,1134,1913,3987,10055,16796,,19200,160x120,1842,3607,7223,14473,29509,57814,,19200,160x120,4468,9138,18421,36874,73509,149309
43200,240x180,87,158,301,619,1513,3544,,43200,240x180,738,1298,1932,3646,12479,16206,,43200,240x180,182,352,691,1413,3522,7656,,43200,240x180,572,1197,1852,3980,8499,16983,,43200,240x180,1863,3718,7435,14886,29757,59533,,43200,240x180,4506,9051,17846,36893,73550,148984
57600,320x180,74,131,248,505,1191,2746,,57600,320x180,630,1185,1706,3186,11769,14802,,57600,320x180,182,351,693,1408,3437,7648,,57600,320x180,554,1109,1860,4027,10104,17123,,57600,320x180,2250,4497,9020,18002,35996,72062,,57600,320x180,5052,10563,20987,42374,84456,169063
64000,320x200,92,155,283,560,1388,3023,,64000,320x200,661,1278,1833,3212,12141,15452,,64000,320x200,182,352,693,1410,3474,7647,,64000,320x200,565,1116,1901,3949,10107,17065,,64000,320x200,2218,4435,8903,17819,35532,71339,,64000,320x200,4987,10291,20626,42129,85139,166479
76800,320x240,101,173,319,641,1617,3538,,76800,320x240,650,1227,1955,3648,12479,16226,,76800,320x240,182,351,692,1408,3493,7640,,76800,320x240,577,1156,1886,3935,9996,17034,,76800,320x240,1862,3679,7353,14743,29847,58732,,76800,320x240,4384,8977,18211,36910,72919,146275
129600,480x270,88,147,268,525,1255,2780,,129600,480x270,678,1184,1662,3188,11750,14732,,129600,480x270,183,351,694,1430,3442,7651,,129600,480x270,722,1111,1806,3960,10125,17142,,129600,480x270,2260,4529,9052,18208,36233,72504,,129600,480x270,5067,10292,20992,43067,85001,171137
144000,480x300,79,142,268,549,1379,3054,,144000,480x300,662,1236,1762,3371,12100,15420,,144000,480x300,183,351,691,1409,3497,7640,,144000,480x300,536,1128,1843,3987,10074,17111,,144000,480x300,2221,4439,8891,17772,35528,71089,,144000,480x300,4871,10050,20816,41973,84127,167845
