size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32,                               ,size,image_quality,1,2,4,8,16,32
14400,160x90,12,13,16,26,48,95,,14400,160x90,152,150,160,194,274,442,,14400,160x90,9,9,9,9,10,10,,14400,160x90,24,24,21,20,22,21,,14400,160x90,45,89,178,356,712,1423,,14400,160x90,213,391,752,1442,2885,5669
19200,160x120,11,13,17,29,56,112,,19200,160x120,149,152,166,208,312,511,,19200,160x120,9,9,9,9,10,10,,19200,160x120,24,21,20,20,23,21,,19200,160x120,41,81,162,323,646,1291,,19200,160x120,192,341,667,1285,2547,5024
25344,176x144,12,15,20,39,71,141,,25344,176x144,157,163,184,236,355,592,,25344,176x144,9,9,9,9,10,10,,25344,176x144,24,21,20,20,23,21,,25344,176x144,38,75,149,299,598,1194,,25344,176x144,172,323,621,1223,2405,4754
43200,240x180,12,15,21,39,76,147,,43200,240x180,151,150,186,232,342,577,,43200,240x180,9,9,9,9,10,10,,43200,240x180,24,21,21,20,21,22,,43200,240x180,40,80,160,321,640,1280,,43200,240x180,183,342,666,1278,2564,5101
57600,320x180,12,16,22,37,71,140,,57600,320x180,154,156,182,211,321,536,,57600,320x180,9,9,9,10,10,10,,57600,320x180,23,24,21,20,22,21,,57600,320x180,44,89,177,354,707,1413,,57600,320x180,210,392,753,1444,2897,5700
76800,320x240,13,16,24,43,83,167,,76800,320x240,149,160,188,231,357,617,,76800,320x240,9,9,9,10,10,10,,76800,320x240,24,21,21,20,22,22,,76800,320x240,40,80,160,321,641,1281,,76800,320x240,186,343,665,1279,2583,5091
129600,480x270,13,17,24,43,82,162,,129600,480x270,152,160,185,233,349,548,,129600,480x270,9,9,9,9,10,10,,129600,480x270,24,24,21,20,23,21,,129600,480x270,44,89,177,353,706,1412,,129600,480x270,206,398,751,1444,2893,5708
172800,480x360,14,18,27,50,97,194,,172800,480x360,155,163,194,245,379,672,,172800,480x360,9,9,9,9,10,10,,172800,480x360,23,20,20,20,22,21,,172800,480x360,40,80,160,321,640,1280,,172800,480x360,183,342,667,1287,2583,5054
230400,640x360,13,17,25,44,84,167,,230400,640x360,149,159,177,214,326,526,,230400,640x360,9,9,9,9,10,10,,230400,640x360,23,24,20,20,22,21,,230400,640x360,45,89,177,353,707,1413,,230400,640x360,208,392,751,1448,2890,5719
307200,640x480,14,18,28,51,100,201,,307200,640x480,149,159,188,240,364,612,,307200,640x480,9,9,9,9,10,10,,307200,640x480,23,20,20,20,22,22,,307200,640x480,40,80,160,320,640,1279,,307200,640x480,188,343,660,1293,2572,5081
360000,800x450,15,21,32,59,114,225,,360000,800x450,153,165,198,259,400,658,,360000,800x450,9,9,9,9,10,10,,360000,800x450,23,24,21,20,22,22,,360000,800x450,44,89,177,354,707,1412,,360000,800x450,206,391,747,1444,2901,5694
480000,800x600,16,23,37,71,140,276,,480000,800x600,157,173,209,287,452,790,,480000,800x600,9,9,9,9,10,10,,480000,800x600,23,20,20,20,22,22,,480000,800x600,40,81,160,320,641,1281,,480000,800x600,185,345,664,1292,2594,5085
655360,1024x640,17,26,42,79,156,311,,655360,1024x640,157,177,213,286,468,821,,655360,1024x640,10,9,9,9,10,10,,655360,1024x640,23,24,20,20,22,21,,655360,1024x640,45,91,181,361,722,1443,,655360,1024x640,212,393,752,1456,2955,5866
786432,1024x768,19,28,48,91,179,357,,786432,1024x768,160,175,225,320,519,919,,786432,1024x768,9,9,9,9,10,10,,786432,1024x768,23,20,20,20,23,22,,786432,1024x768,40,81,161,321,641,1282,,786432,1024x768,184,341,657,1293,2597,5084
921600,1280x720,19,29,48,91,178,354,,921600,1280x720,154,173,211,288,452,781,,921600,1280x720,9,9,9,9,10,10,,921600,1280x720,23,24,20,20,22,21,,921600,1280x720,45,88,176,350,702,1405,,921600,1280x720,206,393,758,1442,2895,5747
1024000,1280x800,20,30,52,98,195,387,,1024000,1280x800,158,168,219,299,472,850,,1024000,1280x800,9,9,9,10,10,10,,1024000,1280x800,23,24,20,20,22,21,,1024000,1280x800,45,91,181,362,724,1448,,1024000,1280x800,209,388,766,1460,2947,5787
1228800,1280x960,21,34,59,113,225,450,,1228800,1280x960,160,175,231,319,534,949,,1228800,1280x960,10,9,9,9,10,10,,1228800,1280x960,23,20,20,20,22,21,,1228800,1280x960,40,81,161,322,644,1290,,1228800,1280x960,185,343,667,1295,2585,5097
