FN- resolution/model,yolov5,ssd,retinanet
streamid_1/quality_1,2.698,1.698,2.49
streamid_1/quality_2,1.427,1.547,0.984
streamid_1/quality_3,1.156,1.115,1.156
streamid_1/quality_4,1.521,1.438,2.188
streamid_1/quality_5,0.979,0.979,1.583
streamid_0/quality_1,2.005,1.557,2.604
streamid_0/quality_2,1.979,1.854,0.979
streamid_0/quality_3,1.047,1.38,0.328
streamid_0/quality_4,1.714,1.083,2.609
streamid_0/quality_5,1.323,1.0,2.224
