FP- resolution/model,yolov5,ssd,retinanet
streamid_1/quality_1,0.0,14.75,148.26
streamid_1/quality_2,0.245,16.016,170.453
streamid_1/quality_3,2.5,19.958,165.583
streamid_1/quality_4,2.505,19.25,184.854
streamid_1/quality_5,2.953,18.74,175.438
streamid_0/quality_1,0.859,12.151,193.599
streamid_0/quality_2,0.411,18.854,251.667
streamid_0/quality_3,3.974,18.708,220.526
streamid_0/quality_4,3.354,17.474,183.495
streamid_0/quality_5,2.161,17.776,178.984
