Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,2301.029296875,2301.029296875,2301.029296875,2301.029296875,2301.029296875
0.2,2313.060546875,2313.060546875,2313.060546875,2313.060546875,2313.060546875
0.3,2301.052734375,2301.052734375,2301.052734375,2301.052734375,2301.052734375
0.4,2307.052734375,2307.052734375,2307.052734375,2307.052734375,2307.052734375
0.5,2304.052734375,2304.052734375,2304.052734375,2304.052734375,2304.052734375
0.6,2304.052734375,2304.052734375,2304.052734375,2304.052734375,2304.052734375
0.7,2307.052734375,2307.052734375,2307.052734375,2307.052734375,2307.052734375
0.8,2304.052734375,2304.052734375,2304.052734375,2304.052734375,2304.052734375
0.9,2304.052734375,2304.052734375,2304.052734375,2304.052734375,2304.052734375
1,2304.052734375,2304.052734375,2304.052734375,2304.052734375,2304.052734375
