accuracy- resolution/model,yolov5,ssd,retinanet
streamid_1/quality_1,0.0,0.062,0.0
streamid_1/quality_2,0.25,0.0,0.006
streamid_1/quality_3,0.0,0.0,0.0
streamid_1/quality_4,0.125,0.025,0.0
streamid_1/quality_5,0.292,0.05,0.003
streamid_0/quality_1,0.667,0.207,0.005
streamid_0/quality_2,1.0,0.05,0.008
streamid_0/quality_3,0.286,0.05,0.009
streamid_0/quality_4,0.333,0.125,0.006
streamid_0/quality_5,0.5,0.1,0.006
