FP- resolution/model,yolov5,ssd,retinanet
streamid_1/quality_1,0.0,15.25,148.0
streamid_1/quality_2,0.0,16.0,170.5
streamid_1/quality_3,2.25,20.0,168.0
streamid_1/quality_4,2.5,19.5,187.5
streamid_1/quality_5,3.0,19.0,175.0
streamid_0/quality_1,1.0,11.5,187.25
streamid_0/quality_2,0.0,19.0,251.0
streamid_0/quality_3,4.0,19.0,215.0
streamid_0/quality_4,3.5,17.5,180.5
streamid_0/quality_5,2.0,18.0,178.0
