Scaling Factor,INTER_NEAREST (MAE),INTER_LINEAR (MAE),INTER_CUBIC (MAE),INTER_AREA (MAE),INTER_LANCZOS4 (MAE)
0.1,99.13770833333332,131.99085648148144,127.688587962963,131.11844907407408,127.78129629629629
0.2,94.90974537037037,116.7392824074074,112.30856481481484,123.35622685185186,116.00692129629627
0.3,96.0127314814815,121.52768518518519,115.49474537037034,119.51467592592596,114.48597222222222
0.4,92.32599537037036,118.35386574074076,109.42893518518517,110.3879861111111,114.11185185185187
0.5,69.95270833333335,105.53657407407408,106.82706018518522,100.26011574074074,119.89238425925926
0.6,92.1322685185185,105.4001388888889,93.69409722222223,104.87372685185184,108.40682870370372
0.7,93.59266203703703,108.41601851851851,92.30810185185183,103.46680555555557,100.41884259259258
0.8,89.95856481481484,105.87694444444443,87.15875000000001,92.95060185185186,95.50895833333334
0.9,92.7594212962963,105.12701388888888,85.41423611111111,98.1328935185185,81.45960648148149
1,0.0,0.0,0.0,0.0,0.0
