Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,3.849609375,3.849609375,3.849609375,3.849609375,3.849609375
0.2,15.240234375,15.240234375,15.240234375,15.240234375,15.240234375
0.3,34.224609375,34.224609375,34.224609375,34.224609375,34.224609375
0.4,60.802734375,60.802734375,60.802734375,60.802734375,60.802734375
0.5,94.974609375,94.974609375,94.974609375,94.974609375,94.974609375
0.6,136.740234375,136.740234375,136.740234375,136.740234375,136.740234375
0.7,186.099609375,186.099609375,186.099609375,186.099609375,186.099609375
0.8,243.052734375,243.052734375,243.052734375,243.052734375,243.052734375
0.9,307.599609375,307.599609375,307.599609375,307.599609375,307.599609375
1,379.740234375,379.740234375,379.740234375,379.740234375,379.740234375
