Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,17.498046875,17.498046875,17.498046875,17.498046875,17.498046875
0.2,69.232421875,69.232421875,69.232421875,69.232421875,69.232421875
0.3,156.158203125,156.158203125,156.158203125,156.158203125,156.158203125
0.4,276.771484375,276.771484375,276.771484375,276.771484375,276.771484375
0.5,432.052734375,432.052734375,432.052734375,432.052734375,432.052734375
0.6,623.123046875,623.123046875,623.123046875,623.123046875,623.123046875
0.7,846.982421875,846.982421875,846.982421875,846.982421875,846.982421875
0.8,1107.533203125,1107.533203125,1107.533203125,1107.533203125,1107.533203125
0.9,1400.271484375,1400.271484375,1400.271484375,1400.271484375,1400.271484375
1,1728.052734375,1728.052734375,1728.052734375,1728.052734375,1728.052734375
