Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,168.802734375,168.802734375,168.802734375,168.802734375,168.802734375
0.2,168.802734375,168.802734375,168.802734375,168.802734375,168.802734375
0.3,168.802734375,168.802734375,168.802734375,168.802734375,168.802734375
0.4,168.802734375,168.802734375,168.802734375,168.802734375,168.802734375
0.5,168.802734375,168.802734375,168.802734375,168.802734375,168.802734375
0.6,168.802734375,168.802734375,168.802734375,168.802734375,168.802734375
0.7,168.802734375,168.802734375,168.802734375,168.802734375,168.802734375
0.8,168.802734375,168.802734375,168.802734375,168.802734375,168.802734375
0.9,168.802734375,168.802734375,168.802734375,168.802734375,168.802734375
1,168.802734375,168.802734375,168.802734375,168.802734375,168.802734375
