size,image_quality,1,2,4,8,16,32
14400,160x90,12,15,20,34,64,126
16000,160x100,12,15,21,36,69,138
19200,160x120,12,15,22,38,74,147
43200,240x180,12,16,22,40,78,155
57600,320x180,13,16,23,38,72,142
64000,320x200,13,16,23,40,78,153
76800,320x240,13,16,24,43,83,167
129600,480x270,13,17,24,43,82,162
144000,480x300,14,18,26,46,89,177
172800,480x360,14,19,28,51,99,197
230400,640x360,14,18,26,44,85,169
256000,640x400,13,17,26,47,90,180
307200,640x480,14,19,29,52,102,204
360000,800x450,15,21,32,58,113,224
400000,800x500,16,22,34,63,124,246
480000,800x600,16,24,38,72,141,290
589824,1024x576,17,24,40,73,143,285
655360,1024x640,17,26,43,79,156,313
786432,1024x768,19,28,48,91,179,358
921600,1280x720,19,29,49,91,179,356
1024000,1280x800,20,30,52,99,195,387
1228800,1280x960,21,34,59,114,225,450
1296000,1440x900,23,37,63,121,239,475
1555200,1440x1080,25,41,73,140,278,554
2073600,1920x1080,28,48,86,166,327,653
