Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,3796.927734375,3796.927734375,3796.927734375,3796.927734375,3796.927734375
0.2,3796.927734375,3796.927734375,3796.927734375,3796.927734375,3796.927734375
0.3,3796.927734375,3796.927734375,3796.927734375,3796.927734375,3796.927734375
0.4,3796.927734375,3796.927734375,3796.927734375,3796.927734375,3796.927734375
0.5,3796.927734375,3796.927734375,3796.927734375,3796.927734375,3796.927734375
0.6,3796.927734375,3796.927734375,3796.927734375,3796.927734375,3796.927734375
0.7,3796.927734375,3796.927734375,3796.927734375,3796.927734375,3796.927734375
0.8,3796.927734375,3796.927734375,3796.927734375,3796.927734375,3796.927734375
0.9,3796.927734375,3796.927734375,3796.927734375,3796.927734375,3796.927734375
1,3796.927734375,3796.927734375,3796.927734375,3796.927734375,3796.927734375
