resolution,time(ms)
streamid_1/quality_1,1361.01
streamid_1/quality_2,1401.84
streamid_1/quality_3,1397.74
streamid_1/quality_4,1401.72
streamid_1/quality_5,1403.71
streamid_0/quality_1,1533.26
streamid_0/quality_2,1556.39
streamid_0/quality_3,1571.99
streamid_0/quality_4,1574.21
streamid_0/quality_5,1572.64
