resolution,time(ms)
160x90,1369.69
160x100,1359.72
160x120,1235.87
240x180,1251.43
320x180,1400.37
320x200,1385.91
320x240,1250.07
480x270,1411.64
480x300,1406.05
480x360,1265.01
640x360,1429.29
640x400,1427.85
640x480,1295.5
800x450,1453.86
800x500,1450.05
800x600,1304.18
1024x576,1473.93
1024x640,1490.4
1024x768,1339.3
1280x720,1482.37
1280x800,1519.76
1280x960,1400.03
1440x900,1553.13
1440x1080,1439.3
1920x1080,1625.91
