Scaling Factor,INTER_NEAREST (ms),INTER_LINEAR (ms),INTER_CUBIC (ms),INTER_AREA (ms),INTER_LANCZOS4 (ms)
0.1,0.0801513671875,0.073046875,0.0801025390625,0.0464599609375,0.786474609375
0.2,0.0654052734375,0.0552734375,0.049951171875,0.0558837890625,0.8259033203125
0.3,0.063818359375,0.0635498046875,0.065576171875,0.063232421875,0.8821044921875
0.4,0.0634521484375,0.0771240234375,0.079248046875,0.0715087890625,0.984228515625
0.5,0.0631103515625,0.0784912109375,0.0778076171875,0.085791015625,1.0209228515625
0.6,0.06259765625,0.0822021484375,0.1115234375,0.090673828125,1.1392333984375
0.7,0.06884765625,0.0932373046875,0.1,0.0908447265625,1.1760498046875
0.8,0.0658203125,0.104931640625,0.1237060546875,0.1027099609375,1.1990478515625
0.9,0.07998046875,0.1073486328125,0.12470703125,0.1251953125,1.3330078125
1,0.0112060546875,0.01171875,0.009423828125,0.0106201171875,0.009521484375
