Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,1406.302734375,1406.302734375,1406.302734375,1406.302734375,1406.302734375
0.2,1406.302734375,1406.302734375,1406.302734375,1406.302734375,1406.302734375
0.3,1406.302734375,1406.302734375,1406.302734375,1406.302734375,1406.302734375
0.4,1406.302734375,1406.302734375,1406.302734375,1406.302734375,1406.302734375
0.5,1406.302734375,1406.302734375,1406.302734375,1406.302734375,1406.302734375
0.6,1406.302734375,1406.302734375,1406.302734375,1406.302734375,1406.302734375
0.7,1406.302734375,1406.302734375,1406.302734375,1406.302734375,1406.302734375
0.8,1406.302734375,1406.302734375,1406.302734375,1406.302734375,1406.302734375
0.9,1406.302734375,1406.302734375,1406.302734375,1406.302734375,1406.302734375
1,1406.302734375,1406.302734375,1406.302734375,1406.302734375,1406.302734375
