Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,0.474609375,0.474609375,0.474609375,0.474609375,0.474609375
0.2,1.740234375,1.740234375,1.740234375,1.740234375,1.740234375
0.3,3.849609375,3.849609375,3.849609375,3.849609375,3.849609375
0.4,6.802734375,6.802734375,6.802734375,6.802734375,6.802734375
0.5,10.599609375,10.599609375,10.599609375,10.599609375,10.599609375
0.6,15.240234375,15.240234375,15.240234375,15.240234375,15.240234375
0.7,20.724609375,20.724609375,20.724609375,20.724609375,20.724609375
0.8,27.052734375,27.052734375,27.052734375,27.052734375,27.052734375
0.9,34.224609375,34.224609375,34.224609375,34.224609375,34.224609375
1,42.240234375,42.240234375,42.240234375,42.240234375,42.240234375
