TP- resolution/model,yolov5,ssd,retinanet
160x90,1.0,0.0,1.0
160x100,1.0,1.0,0.0
160x120,2.0,1.0,0.0
240x180,3.0,4.0,1.0
320x180,5.0,4.0,2.0
320x200,3.0,2.0,1.0
320x240,4.25,3.25,1.0
480x270,5.75,4.0,2.0
480x300,3.0,2.0,1.0
480x360,6.0,5.0,1.0
640x360,6.0,6.0,2.0
640x400,3.75,2.75,1.0
640x480,7.0,6.0,1.0
800x450,6.0,5.5,2.0
800x500,3.0,2.0,1.0
800x600,7.0,6.0,1.0
1024x576,7.0,5.0,2.0
1024x640,3.0,2.0,1.0
1024x768,6.0,5.0,1.0
1280x720,7.0,5.0,2.0
1280x800,6.0,6.0,2.0
1280x960,4.0,3.0,0.75
1440x900,6.0,6.0,2.0
1440x1080,5.0,4.0,0.25
1920x1080,5.0,5.0,1.0
