accuracy- resolution/model,yolov5,ssd,retinanet
160x90,0.333,0.0,0.003
160x100,0.25,0.05,0.0
160x120,0.542,0.05,0.0
240x180,0.6,0.2,0.007
320x180,0.881,0.2,0.012
320x200,0.938,0.1,0.006
320x240,0.679,0.162,0.006
480x270,0.851,0.2,0.011
480x300,0.6,0.1,0.006
480x360,0.75,0.25,0.006
640x360,0.857,0.3,0.01
640x400,0.518,0.138,0.006
640x480,0.875,0.3,0.004
800x450,0.857,0.275,0.007
800x500,0.333,0.1,0.005
800x600,0.778,0.3,0.003
1024x576,0.778,0.25,0.007
1024x640,0.333,0.1,0.003
1024x768,0.75,0.25,0.003
1280x720,0.778,0.25,0.007
1280x800,0.75,0.3,0.008
1280x960,0.571,0.15,0.003
1440x900,0.75,0.3,0.007
1440x1080,0.714,0.2,0.001
1920x1080,0.833,0.25,0.003
