FP- frame/model,yolov5,ssd,retinanet
1,1.529,16.412,89.0
2,1.176,15.971,87.647
4,1.221,16.162,87.574
8,1.132,16.147,88.0
16,1.261,16.169,87.643
32,1.222,16.2,88.116
