Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.799564145933964,32.438405096846175,31.884866862147476,32.435996952115836,31.508390113210005
0.2,32.656670925547594,33.21755883613083,32.79259595231725,33.33016350455881,32.469711075430446
0.3,32.67464067706112,33.8472846793052,33.33974189171148,33.88218335388786,33.00185263700904
0.4,33.16928178903094,34.311348784599886,33.97034167757226,34.33903344804998,33.53351752858475
0.5,35.229870422911354,34.55442006127564,34.522971295237404,35.011144996715174,34.028197791587374
0.6,33.39604575152909,35.51896657991875,35.89953894727055,35.21851712837951,35.46154354159662
0.7,33.14385250779343,35.743996265724014,36.968106970410645,35.483261674635635,36.79724576439458
0.8,33.67120923270476,35.943359767624315,38.127269911389064,36.102863394576566,38.45485827401178
0.9,33.18894544427728,36.42371768545968,39.3753663927248,35.72052545494787,40.65754173239662
1,inf,inf,inf,inf,inf
