Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,30.826438406016443,31.40910981992095,31.07793740140155,31.18463667011796,30.778511072987023
0.2,32.282001490735816,32.75975478072428,32.4067505402078,32.52682878602248,32.07304969074601
0.3,32.408318533264485,33.62145615617067,33.420373997273956,33.40726595037493,33.05279253992
0.4,33.19189193176117,34.34899476294861,34.269694908469845,34.113112825688454,33.81496749824746
0.5,35.30166559212296,34.52152571213087,34.57626135677504,34.853007714772666,34.047963368816355
0.6,33.50230554638456,35.61547584185842,35.82607785750249,35.18641590268557,35.33444358700154
0.7,33.2968436278544,35.854421403437456,36.56499733356436,35.52701577959158,36.177374441286695
0.8,33.9106928343267,36.14930807175229,37.46144945765537,36.04625629515888,37.255869156449855
0.9,33.35548831396955,36.56090190207883,38.53786167680273,35.842260075740505,38.92805901689922
1,inf,inf,inf,inf,inf
