Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,53.75718518518518,47.00774074074075,50.73254166666668,49.501310185185176,54.35371759259259
0.2,38.44857175925926,34.443310185185176,37.359865740740744,36.34105092592592,40.34366898148148
0.3,37.346379629629624,28.244555555555557,29.583050925925924,29.67247453703704,32.19593981481482
0.4,31.18108101851852,23.88806018518519,24.32825,25.221393518518514,27.0136712962963
0.5,19.182879629629632,22.95766898148148,22.670141203703704,21.270592592592596,25.602597222222222
0.6,29.030185185185182,17.845666666666663,17.000925925925923,19.69875462962963,19.038643518518516
0.7,30.436590277777775,16.890333333333334,14.341039351851851,18.212886574074073,15.679886574074072
0.8,26.424761574074076,15.781546296296295,11.666361111111113,16.160497685185188,12.231886574074077
0.9,30.028354166666666,14.354569444444447,9.105298611111111,16.937696759259264,8.322895833333334
1,0.0,0.0,0.0,0.0,0.0
