Scaling Factor,INTER_NEAREST (MAE),INTER_LINEAR (MAE),INTER_CUBIC (MAE),INTER_AREA (MAE),INTER_LANCZOS4 (MAE)
0.1,100.02963425925927,109.91901851851853,111.09114351851852,119.7770046296296,117.70813425925925
0.2,92.62160416666667,99.28946759259259,99.23787962962965,105.30075925925925,108.24205787037036
0.3,94.14654629629628,101.1835138888889,99.20590277777777,97.59166898148148,97.77101851851852
0.4,88.88653935185185,93.98499537037037,89.84558333333335,85.07015277777779,95.89272222222222
0.5,61.00702314814815,75.07431712962965,84.4039513888889,73.23163425925928,109.13325925925926
0.6,86.5490925925926,83.88532870370372,73.4760648148148,81.42202777777777,91.99544444444446
0.7,89.55875231481481,85.24997685185187,68.76318749999999,79.37410879629628,73.0698449074074
0.8,84.32266898148147,79.23568518518518,62.494504629629645,64.67361805555556,69.02265046296294
0.9,88.74880324074073,80.70872685185186,60.447942129629624,75.72005324074074,55.06350694444444
1,0.0,0.0,0.0,0.0,0.0
