FN- resolution/model,yolov5,ssd,retinanet
160x90,0.0,1.0,0.021
160x100,0.0,0.042,0.87
160x120,0.057,0.844,1.854
240x180,1.438,0.911,3.63
320x180,0.188,1.724,3.641
320x200,1.0,2.0,3.0
320x240,0.083,1.0,3.5
480x270,0.568,2.021,4.234
480x300,1.0,2.0,3.0
480x360,0.203,1.0,5.005
640x360,2.0,2.01,6.12
640x400,1.0,2.0,3.474
640x480,0.245,1.0,5.807
800x450,1.979,2.073,5.661
800x500,1.0,2.0,3.0
800x600,0.12,1.0,6.172
1024x576,0.005,2.0,4.953
1024x640,0.948,1.948,3.125
1024x768,0.042,1.0,5.219
1280x720,1.016,2.708,5.958
1280x800,0.958,1.219,4.708
1280x960,0.672,1.672,3.995
1440x900,1.0,1.0,4.661
1440x1080,0.401,1.396,4.792
1920x1080,1.01,1.052,5.01
