Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,1.927734375,1.927734375,1.927734375,1.927734375,1.927734375
0.2,7.552734375,7.552734375,7.552734375,7.552734375,7.552734375
0.3,16.927734375,16.927734375,16.927734375,16.927734375,16.927734375
0.4,30.052734375,30.052734375,30.052734375,30.052734375,30.052734375
0.5,46.927734375,46.927734375,46.927734375,46.927734375,46.927734375
0.6,67.552734375,67.552734375,67.552734375,67.552734375,67.552734375
0.7,91.927734375,91.927734375,91.927734375,91.927734375,91.927734375
0.8,120.052734375,120.052734375,120.052734375,120.052734375,120.052734375
0.9,151.927734375,151.927734375,151.927734375,151.927734375,151.927734375
1,187.552734375,187.552734375,187.552734375,187.552734375,187.552734375
