Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,45.615234375,45.615234375,45.615234375,45.615234375,45.615234375
0.2,182.302734375,182.302734375,182.302734375,182.302734375,182.302734375
0.3,410.115234375,410.115234375,410.115234375,410.115234375,410.115234375
0.4,729.052734375,729.052734375,729.052734375,729.052734375,729.052734375
0.5,1139.115234375,1139.115234375,1139.115234375,1139.115234375,1139.115234375
0.6,1640.302734375,1640.302734375,1640.302734375,1640.302734375,1640.302734375
0.7,2232.615234375,2232.615234375,2232.615234375,2232.615234375,2232.615234375
0.8,2916.052734375,2916.052734375,2916.052734375,2916.052734375,2916.052734375
0.9,3690.615234375,3690.615234375,3690.615234375,3690.615234375,3690.615234375
1,4556.302734375,4556.302734375,4556.302734375,4556.302734375,4556.302734375
