size,image_quality,1,2,4,8,16,32
14400,160x90,140,147,164,166,302,454
16000,160x100,141,145,177,210,304,522
19200,160x120,140,148,168,222,315,576
43200,240x180,142,149,172,222,323,566
57600,320x180,141,148,167,209,319,516
64000,320x200,143,148,173,225,333,560
76800,320x240,140,151,177,227,367,615
129600,480x270,142,147,171,220,321,563
144000,480x300,145,150,178,229,359,604
172800,480x360,142,156,185,242,382,659
230400,640x360,141,149,166,211,296,526
256000,640x400,139,146,170,218,330,553
307200,640x480,150,150,175,227,352,597
360000,800x450,147,154,184,246,388,646
400000,800x500,147,157,190,254,364,715
480000,800x600,148,163,197,272,399,791
589824,1024x576,144,161,197,268,432,754
655360,1024x640,149,162,203,281,440,817
786432,1024x768,150,171,212,305,519,913
921600,1280x720,148,161,197,273,442,759
1024000,1280x800,155,166,204,290,461,832
1228800,1280x960,151,173,220,309,523,942
1296000,1440x900,161,177,232,343,569,1034
1555200,1440x1080,160,193,251,377,588,1223
2073600,1920x1080,162,192,258,389,675,1283
