FP- frame/model,yolov5,ssd,retinanet
1,2.0,17.0,173.0
2,2.0,18.0,172.5
4,2.0,18.0,172.5
8,2.0,17.5,171.5
16,2.0,17.0,170.0
32,2.0,17.0,170.5
