TP- frame/model,yolov5,ssd,retinanet
1,3.0,2.0,0.0
2,3.0,2.0,0.0
4,3.0,2.0,0.0
8,3.0,2.5,0.0
16,3.0,3.0,0.0
32,3.0,3.0,0.0
