accuracy- frame/model,yolov5,ssd,retinanet
1,0.5,0.1,0.0
2,0.55,0.1,0.0
4,0.55,0.1,0.0
8,0.5,0.125,0.0
16,0.571,0.15,0.0
32,0.5,0.15,0.0
