recall- frame/model,yolov5,ssd,retinanet
1,0.8,0.714,0.0
2,0.817,0.69,0.0
4,0.833,0.75,0.0
8,0.833,0.75,0.0
16,0.833,0.75,0.0
32,0.833,0.75,0.0
