Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,421.927734375,421.927734375,421.927734375,421.927734375,421.927734375
0.2,421.927734375,421.927734375,421.927734375,421.927734375,421.927734375
0.3,421.927734375,421.927734375,421.927734375,421.927734375,421.927734375
0.4,421.927734375,421.927734375,421.927734375,421.927734375,421.927734375
0.5,421.927734375,421.927734375,421.927734375,421.927734375,421.927734375
0.6,421.927734375,421.927734375,421.927734375,421.927734375,421.927734375
0.7,421.927734375,421.927734375,421.927734375,421.927734375,421.927734375
0.8,421.927734375,421.927734375,421.927734375,421.927734375,421.927734375
0.9,421.927734375,421.927734375,421.927734375,421.927734375,421.927734375
1,421.927734375,421.927734375,421.927734375,421.927734375,421.927734375
