Scaling Factor,INTER_NEAREST (kb),INTER_LINEAR (kb),INTER_CUBIC (kb),INTER_AREA (kb),INTER_LANCZOS4 (kb)
0.1,23.212890625,23.212890625,23.212890625,23.212890625,23.212890625
0.2,92.693359375,92.693359375,92.693359375,92.693359375,92.693359375
0.3,207.591796875,207.591796875,207.591796875,207.591796875,207.591796875
0.4,369.412109375,369.412109375,369.412109375,369.412109375,369.412109375
0.5,576.052734375,576.052734375,576.052734375,576.052734375,576.052734375
0.6,830.212890625,830.212890625,830.212890625,830.212890625,830.212890625
0.7,1130.693359375,1130.693359375,1130.693359375,1130.693359375,1130.693359375
0.8,1475.091796875,1475.091796875,1475.091796875,1475.091796875,1475.091796875
0.9,1867.912109375,1867.912109375,1867.912109375,1867.912109375,1867.912109375
1,2304.052734375,2304.052734375,2304.052734375,2304.052734375,2304.052734375
