Scaling Factor,INTER_NEAREST (ms),INTER_LINEAR (ms),INTER_CUBIC (ms),INTER_AREA (ms),INTER_LANCZOS4 (ms)
0.1,0.072802734375,0.1960205078125,0.393603515625,1.704345703125,1.2423095703125
0.2,0.147021484375,0.6673828125,1.4219970703125,2.2830322265625,3.1839111328125
0.3,0.25927734375,1.3729248046875,2.579541015625,5.3783203125,5.1498291015625
0.4,0.323876953125,1.4559814453125,2.023388671875,2.8891357421875,4.011474609375
0.5,0.4082275390625,0.4732421875,1.840380859375,0.5870849609375,3.698779296875
0.6,0.335009765625,1.3059814453125,1.81396484375,2.4934814453125,3.7775390625
0.7,0.31806640625,1.115576171875,1.5415283203125,1.998828125,3.6322509765625
0.8,0.4138916015625,1.105224609375,1.65068359375,1.663671875,3.007421875
0.9,0.5534912109375,1.1681884765625,1.4394775390625,1.7697021484375,3.0770751953125
1,0.624853515625,0.6472900390625,0.6434326171875,0.6285400390625,0.646484375
