Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,47.207126851851854,42.699511111111114,46.974892592592596,43.65839722222222,50.87995555555556
0.2,34.22050555555556,30.361965740740736,32.974793518518524,31.713547222222225,35.956334259259265
0.3,32.900688888888894,24.70430740740741,26.551630555555555,26.037406481481476,29.204208333333334
0.4,27.77357222222222,21.56659166666667,22.545401851851857,22.48804537037037,25.012711111111113
0.5,17.108312037037035,20.83330185185185,21.802953703703704,18.985334259259254,24.455974074074074
0.6,25.81615,16.79172129629629,16.869272222222218,18.212130555555554,18.833714814814815
0.7,27.493249999999996,16.077824074074073,14.52406759259259,17.30461666666667,15.95838611111111
0.8,23.70314166666667,15.401075,12.07083148148148,15.427300925925923,12.560208333333334
0.9,26.69624537037037,14.305979629629629,9.92979351851852,16.274152777777775,8.751605555555555
1,0.0,0.0,0.0,0.0,0.0
