Scaling Factor,INTER_NEAREST (PSNR),INTER_LINEAR (PSNR),INTER_CUBIC (PSNR),INTER_AREA (PSNR),INTER_LANCZOS4 (PSNR)
0.1,31.39072791920612,31.826574582775983,31.412145651022165,31.73012572928633,31.065336375904735
0.2,32.78793939579655,33.307504749778055,32.948982761051184,33.11835539437548,32.573049517812926
0.3,32.95875369376573,34.20307678046543,33.889891642814575,33.97482637764224,33.476349229723844
0.4,33.69448618797701,34.79298845219155,34.60022380241225,34.61128652064257,34.149195936962585
0.5,35.798731981510635,34.943222545112114,34.74565028257564,35.346621130568884,34.24695395547838
0.6,34.01188885076375,35.879851435168334,35.85984014300766,35.52719605935352,35.381443709385174
0.7,33.738542796771114,36.068530886299826,36.50992099488135,35.74918377659337,36.10091392304277
0.8,34.382744486944105,36.25529325078594,37.31343174003225,36.24790409886474,37.140835178626965
0.9,33.86630175517991,36.57562758553581,38.1614014305736,36.01581972138485,38.70992625565259
1,inf,inf,inf,inf,inf
